reaction,n,PRR,ROR,ROR_IC95_low,ROR_IC95_high,Chi2,signal_confirmed
Vulval disorder,5,0.87,0.87,0.352,2.151,0.08,False
Ovarian mass,5,0.87,0.87,0.352,2.151,0.08,False
Catheter site thrombosis,12,0.87,0.87,0.485,1.56,0.2,False
Syncope,546,0.869,0.869,0.796,0.947,9.44,False
Treatment failure,609,0.869,0.869,0.801,0.943,10.44,False
Platelet count increased,94,0.865,0.865,0.702,1.066,1.71,False
Hepatic enzyme abnormal,37,0.865,0.865,0.62,1.207,0.68,False
Premature separation of placenta,8,0.863,0.863,0.422,1.764,0.15,False
Post procedural discomfort,14,0.857,0.857,0.499,1.473,0.29,False
Therapeutic product effect decreased,416,0.854,0.854,0.773,0.943,9.05,False
Gastrointestinal disorder,1035,0.854,0.853,0.801,0.909,22.68,False
Hyperhidrosis,703,0.854,0.854,0.791,0.922,15.22,False
Calculus bladder,10,0.853,0.853,0.45,1.617,0.22,False
Product administration error,199,0.853,0.853,0.739,0.985,4.38,False
Menstrual disorder,50,0.853,0.853,0.641,1.135,1.11,False
Terminal state,28,0.851,0.851,0.581,1.248,0.63,False
Vascular access site haemorrhage,3,0.851,0.851,0.265,2.736,0.07,False
Bladder injury,3,0.851,0.851,0.265,2.736,0.07,False
Helicobacter gastritis,6,0.851,0.851,0.373,1.943,0.14,False
Stenosis,20,0.85,0.85,0.541,1.336,0.46,False
Joint stiffness,187,0.849,0.849,0.733,0.985,4.35,False
Incontinence,64,0.848,0.848,0.658,1.092,1.53,False
Glaucoma,117,0.846,0.846,0.702,1.02,2.86,False
Chest pain,1064,0.846,0.846,0.795,0.9,26.04,False
Feeling hot,387,0.846,0.846,0.763,0.938,9.43,False
Intestinal pseudo-obstruction,12,0.842,0.842,0.469,1.509,0.31,False
Ear pruritus,43,0.841,0.841,0.618,1.145,1.13,False
Urosepsis,53,0.84,0.84,0.636,1.109,1.41,False
Angle closure glaucoma,11,0.839,0.839,0.456,1.544,0.3,False
Ligament rupture,28,0.836,0.836,0.57,1.225,0.79,False
Upper gastrointestinal haemorrhage,62,0.835,0.835,0.646,1.079,1.77,False
Acne,265,0.834,0.834,0.736,0.944,7.66,False
Affect lability,42,0.834,0.834,0.61,1.139,1.21,False
Jaundice,105,0.834,0.834,0.685,1.016,3.02,False
Lichen sclerosus,6,0.833,0.833,0.365,1.901,0.18,False
Abdominal wall wound,3,0.833,0.833,0.259,2.675,0.09,False
Oropharyngeal plaque,6,0.833,0.833,0.365,1.901,0.18,False
Polymyositis,9,0.833,0.833,0.424,1.634,0.26,False
Cachexia,22,0.832,0.832,0.541,1.28,0.65,False
Wrist fracture,85,0.83,0.83,0.667,1.033,2.58,False
Otorrhoea,20,0.828,0.828,0.527,1.302,0.62,False
Depressed mood,380,0.827,0.827,0.746,0.918,11.93,False
Prostatomegaly,26,0.825,0.825,0.555,1.227,0.84,False
Clostridium test positive,12,0.824,0.824,0.46,1.477,0.39,False
Urinary bladder haemorrhage,12,0.82,0.82,0.457,1.469,0.42,False
Vaginal discharge,47,0.818,0.818,0.609,1.098,1.67,False
Diabetes mellitus,390,0.817,0.817,0.738,0.905,13.94,False
Fall,2304,0.816,0.815,0.781,0.85,84.05,False
Ankle fracture,112,0.811,0.811,0.67,0.981,4.32,False
Atrial fibrillation,526,0.81,0.809,0.741,0.884,20.59,False
Post-traumatic neck syndrome,9,0.81,0.81,0.413,1.588,0.35,False
Drug level abnormal,9,0.81,0.81,0.413,1.588,0.35,False
Negative thoughts,16,0.809,0.809,0.488,1.341,0.63,False
Limb injury,359,0.808,0.807,0.726,0.898,14.41,False
Disturbance in attention,232,0.807,0.807,0.707,0.921,9.38,False
Urine flow decreased,11,0.806,0.806,0.439,1.482,0.45,False
Arthropod bite,84,0.803,0.803,0.644,1.001,3.56,False
Mean cell haemoglobin decreased,12,0.803,0.803,0.448,1.438,0.51,False
Eye discharge,80,0.802,0.802,0.64,1.005,3.44,False
Victim of sexual abuse,3,0.799,0.799,0.249,2.563,0.13,False
Micturition urgency,84,0.799,0.799,0.641,0.996,3.73,False
Anal erythema,3,0.799,0.799,0.249,2.563,0.13,False
Malabsorption,40,0.798,0.798,0.58,1.098,1.79,False
Pterygium,5,0.795,0.795,0.322,1.962,0.23,False
Meniscus injury,41,0.795,0.795,0.58,1.089,1.9,False
Hand fracture,62,0.794,0.794,0.614,1.026,2.91,False
Ankylosing spondylitis,141,0.792,0.792,0.668,0.939,6.75,False
Pancreas infection,4,0.791,0.791,0.288,2.169,0.19,False
Discoloured vomit,11,0.789,0.789,0.429,1.449,0.55,False
Facial pain,72,0.787,0.787,0.62,0.998,3.65,False
Electric shock sensation,49,0.786,0.786,0.589,1.049,2.49,False
Glucose tolerance impaired,43,0.786,0.786,0.578,1.069,2.2,False
Cardiac failure chronic,32,0.785,0.785,0.549,1.121,1.66,False
Mental disorder,251,0.784,0.784,0.69,0.89,13.12,False
Colonic fistula,3,0.783,0.783,0.244,2.51,0.16,False
Hepatic mass,15,0.783,0.783,0.465,1.318,0.79,False
Mobility decreased,503,0.779,0.778,0.711,0.852,27.78,False
Social anxiety disorder,4,0.779,0.779,0.284,2.136,0.22,False
Vancomycin infusion reaction,5,0.777,0.777,0.315,1.914,0.28,False
Breast pain,45,0.773,0.773,0.573,1.045,2.62,False
Blood electrolytes decreased,19,0.77,0.77,0.485,1.223,1.15,False
Oesophageal infection,3,0.767,0.767,0.24,2.459,0.19,False
Macular degeneration,88,0.765,0.765,0.617,0.949,5.55,False
Back injury,128,0.764,0.764,0.639,0.912,8.22,False
Menstruation delayed,29,0.761,0.761,0.523,1.107,1.91,False
Ecchymosis,37,0.758,0.758,0.544,1.056,2.51,False
Klebsiella bacteraemia,9,0.758,0.758,0.387,1.483,0.61,False
Inflammation,433,0.757,0.757,0.687,0.834,29.7,False
Sensation of foreign body,49,0.756,0.756,0.567,1.008,3.4,False
Abdominal symptom,4,0.756,0.756,0.276,2.072,0.28,False
Granulomatous liver disease,4,0.756,0.756,0.276,2.072,0.28,False
Sitting disability,7,0.755,0.755,0.352,1.617,0.49,False
Malnutrition,89,0.754,0.754,0.609,0.934,6.27,False
Chloasma,3,0.753,0.753,0.235,2.41,0.21,False
Blood urine,3,0.753,0.753,0.235,2.41,0.21,False
Victim of abuse,3,0.753,0.753,0.235,2.41,0.21,False
Lymph node pain,14,0.752,0.752,0.439,1.288,1.01,False
Skin sensitisation,5,0.75,0.75,0.304,1.847,0.37,False
Wound haemorrhage,21,0.749,0.749,0.482,1.162,1.56,False
Herpes zoster,347,0.745,0.745,0.668,0.83,26.59,False
Dementia,185,0.744,0.743,0.641,0.862,14.38,False
Vulvovaginal mycotic infection,22,0.744,0.744,0.484,1.143,1.71,False
Lip pain,12,0.742,0.742,0.415,1.327,0.95,False
Epiretinal membrane,5,0.741,0.741,0.301,1.825,0.4,False
Blindness unilateral,73,0.741,0.741,0.585,0.937,5.83,False
Face injury,37,0.738,0.738,0.53,1.028,3.02,False
Bleeding time prolonged,3,0.738,0.738,0.231,2.363,0.24,False
Pelvic mass,3,0.738,0.738,0.231,2.363,0.24,False
Coronary artery dissection,3,0.738,0.738,0.231,2.363,0.24,False
Postoperative ileus,4,0.735,0.735,0.268,2.012,0.34,False
Capillary fragility,4,0.735,0.735,0.268,2.012,0.34,False
Accident,93,0.734,0.734,0.595,0.904,7.91,False
Disease complication,16,0.732,0.732,0.443,1.212,1.38,False
Coronary artery disease,65,0.731,0.731,0.569,0.938,5.66,False
Blood phosphorus decreased,24,0.73,0.73,0.484,1.101,2.11,False
Incoherent,23,0.73,0.73,0.48,1.111,2.02,False
Malignant melanoma,64,0.729,0.729,0.567,0.938,5.66,False
Normocytic anaemia,15,0.727,0.727,0.433,1.224,1.35,False
Tongue injury,8,0.725,0.725,0.356,1.477,0.74,False
Lung cancer metastatic,9,0.725,0.725,0.37,1.418,0.83,False
Clostridial infection,5,0.725,0.725,0.295,1.784,0.46,False
Vitamin B6 decreased,5,0.725,0.725,0.295,1.784,0.46,False
Drug level increased,68,0.725,0.725,0.568,0.926,6.22,False
Abdominal neoplasm,4,0.725,0.725,0.265,1.984,0.37,False
Neck mass,21,0.725,0.725,0.467,1.125,1.93,False
Sleep apnoea syndrome,105,0.724,0.724,0.595,0.881,9.72,False
Angina pectoris,109,0.722,0.722,0.595,0.875,10.28,False
Steroid dependence,17,0.72,0.72,0.442,1.173,1.63,False
Sinonasal obstruction,6,0.718,0.718,0.316,1.634,0.58,False
Dysentery,10,0.717,0.717,0.379,1.355,0.98,False
Eosinophil count abnormal,4,0.715,0.715,0.261,1.956,0.4,False
Immobile,21,0.715,0.715,0.461,1.11,2.09,False
Panic attack,170,0.715,0.714,0.612,0.834,17.08,False
Varicose vein,36,0.713,0.713,0.51,0.997,3.67,False
Upper respiratory tract infection,457,0.712,0.712,0.648,0.783,46.7,False
Eye infection,106,0.712,0.712,0.585,0.865,10.9,False
Upper-airway cough syndrome,73,0.711,0.711,0.562,0.9,7.54,False
Musculoskeletal pain,171,0.711,0.711,0.609,0.829,17.7,False
Tuberculosis,53,0.71,0.71,0.538,0.936,5.53,False
Chest discomfort,618,0.709,0.709,0.654,0.769,64.9,False
Metastases to lung,73,0.708,0.708,0.559,0.895,7.77,False
Presyncope,120,0.707,0.707,0.589,0.85,12.79,False
Oral candidiasis,110,0.707,0.707,0.584,0.857,11.74,False
Neck pain,347,0.705,0.705,0.633,0.785,37.77,False
Urticaria chronic,6,0.705,0.705,0.31,1.604,0.65,False
Restless legs syndrome,82,0.703,0.703,0.563,0.878,9.04,False
Blood glucose abnormal,87,0.703,0.703,0.566,0.872,9.64,False
Urinary incontinence,144,0.701,0.701,0.593,0.829,16.19,False
Bacterial disease carrier,3,0.699,0.699,0.219,2.233,0.34,False
Arterial injury,3,0.699,0.699,0.219,2.233,0.34,False
Vertigo,287,0.698,0.698,0.62,0.786,33.09,False
Thrombophlebitis,15,0.696,0.696,0.414,1.171,1.75,False
Melanocytic naevus,24,0.696,0.696,0.461,1.049,2.81,False
Head injury,246,0.695,0.694,0.611,0.789,29.15,False
Dementia Alzheimer's type,50,0.695,0.695,0.523,0.923,5.92,False
Idiopathic intracranial hypertension,12,0.693,0.693,0.388,1.238,1.44,False
Internal haemorrhage,56,0.691,0.691,0.528,0.903,6.85,False
Road traffic accident,287,0.69,0.69,0.613,0.777,35.28,False
Nasal septum deviation,15,0.689,0.689,0.41,1.158,1.86,False
Injection site oedema,11,0.687,0.687,0.374,1.259,1.39,False
Laryngeal stenosis,4,0.687,0.687,0.251,1.877,0.5,False
Renal cell carcinoma,15,0.687,0.687,0.409,1.154,1.89,False
Onychoclasis,38,0.686,0.686,0.495,0.95,4.83,False
Full blood count increased,12,0.684,0.684,0.383,1.222,1.55,False
Laryngitis,111,0.684,0.684,0.565,0.827,14.33,False
Poisoning,36,0.684,0.684,0.489,0.956,4.65,False
Skin fragility,7,0.682,0.682,0.319,1.457,0.92,False
Postural orthostatic tachycardia syndrome,22,0.682,0.682,0.444,1.047,2.88,False
Pelvic fracture,46,0.68,0.68,0.505,0.914,6.13,False
Joint injury,218,0.68,0.68,0.593,0.779,29.0,False
Ageusia,113,0.678,0.678,0.561,0.819,15.24,False
Nail injury,4,0.678,0.678,0.248,1.852,0.54,False
Weight abnormal,32,0.677,0.677,0.474,0.965,4.37,False
Stomatitis,358,0.676,0.676,0.608,0.752,49.05,False
Body height increased,68,0.676,0.676,0.53,0.863,9.31,False
Systemic infection,5,0.672,0.672,0.274,1.652,0.7,False
Pancreatic disorder,42,0.671,0.671,0.492,0.916,5.96,False
Blood culture positive,7,0.671,0.671,0.314,1.435,0.99,False
Pain in extremity,1480,0.67,0.669,0.635,0.705,212.08,False
Hepatomegaly,37,0.669,0.669,0.48,0.93,5.37,False
Enteritis infectious,9,0.667,0.667,0.341,1.304,1.32,False
Menstruation irregular,54,0.667,0.666,0.507,0.876,7.96,False
Immune-mediated enterocolitis,54,0.666,0.666,0.507,0.875,8.0,False
Vitamin D deficiency,67,0.666,0.666,0.521,0.851,9.94,False
Cholangitis,45,0.666,0.666,0.494,0.899,6.64,False
Granulomatosis with polyangiitis,8,0.665,0.665,0.327,1.353,1.2,False
Mycobacterium avium complex infection,21,0.665,0.665,0.429,1.031,3.13,False
Tooth fracture,74,0.665,0.665,0.526,0.84,11.05,False
Nasal dryness,33,0.664,0.664,0.468,0.943,4.94,False
Tongue discomfort,23,0.664,0.664,0.437,1.009,3.46,False
Cushingoid,18,0.663,0.663,0.413,1.065,2.72,False
Infection,1046,0.662,0.661,0.621,0.703,160.11,False
Dengue fever,26,0.66,0.66,0.445,0.979,4.03,False
Epicondylitis,5,0.659,0.659,0.268,1.618,0.78,False
Diverticular perforation,5,0.659,0.659,0.268,1.618,0.78,False
Peripheral swelling,1103,0.659,0.658,0.62,0.699,171.96,False
Blood calcium decreased,59,0.658,0.658,0.507,0.855,9.24,False
Treatment noncompliance,465,0.658,0.658,0.599,0.722,73.03,False
Procedural nausea,7,0.657,0.657,0.307,1.404,1.11,False
Chronic fatigue syndrome,11,0.655,0.655,0.358,1.201,1.76,False
Mass,74,0.654,0.654,0.518,0.826,11.97,False
Haematological infection,64,0.653,0.653,0.508,0.84,10.41,False
Ingrown hair,4,0.652,0.652,0.239,1.781,0.66,False
Gingival erythema,3,0.652,0.652,0.205,2.08,0.49,False
Pneumonia viral,26,0.651,0.651,0.439,0.965,4.3,False
Loss of consciousness,531,0.651,0.65,0.596,0.71,88.03,False
Escherichia bacteraemia,15,0.65,0.65,0.387,1.092,2.5,False
Hypoaesthesia oral,58,0.65,0.65,0.499,0.846,9.67,False
Sleep deficit,29,0.649,0.649,0.447,0.942,4.87,False
Oropharyngeal discomfort,93,0.649,0.649,0.527,0.799,15.6,False
Hypovitaminosis,10,0.649,0.649,0.344,1.225,1.68,False
Red blood cell count decreased,148,0.646,0.646,0.547,0.762,25.45,False
Macrocytosis,5,0.646,0.646,0.263,1.585,0.86,False
Serum ferritin increased,28,0.645,0.645,0.442,0.943,4.83,False
Diabetic neuropathy,14,0.645,0.645,0.377,1.104,2.41,False
Chest injury,22,0.645,0.645,0.42,0.99,3.8,False
Liver function test increased,177,0.645,0.645,0.554,0.75,30.64,False
Monocyte count increased,24,0.644,0.644,0.428,0.971,4.17,False
Sialoadenitis,11,0.644,0.644,0.351,1.179,1.92,False
Palpitations,493,0.644,0.643,0.588,0.704,86.07,False
Vestibular disorder,6,0.642,0.642,0.283,1.456,1.06,False
Haematological malignancy,6,0.642,0.642,0.283,1.456,1.06,False
Basal cell carcinoma,91,0.641,0.641,0.52,0.792,16.15,False
Splenic infarction,8,0.64,0.64,0.315,1.302,1.43,False
Skin mass,44,0.639,0.638,0.472,0.864,7.97,False
Viral upper respiratory tract infection,20,0.638,0.638,0.407,0.999,3.64,False
COVID-19 pneumonia,81,0.636,0.636,0.509,0.795,14.96,False
Appetite disorder,61,0.636,0.636,0.492,0.823,11.24,False
Rhinitis,86,0.634,0.633,0.51,0.787,16.15,False
Amyotrophic lateral sclerosis,10,0.633,0.633,0.336,1.195,1.88,False
Respiratory tract infection,283,0.633,0.633,0.562,0.713,53.23,False
Aortic valve disease,6,0.631,0.631,0.278,1.432,1.14,False
Pneumococcal sepsis,4,0.629,0.629,0.231,1.715,0.78,False
Therapeutic response decreased,289,0.629,0.629,0.559,0.708,56.03,False
Ileus paralytic,19,0.629,0.629,0.397,0.997,3.68,False
Liver disorder,247,0.626,0.626,0.551,0.711,48.81,False
Burning sensation,264,0.626,0.626,0.553,0.709,52.12,False
Product distribution issue,251,0.626,0.626,0.552,0.711,49.62,False
Calculus urinary,6,0.626,0.626,0.276,1.421,1.19,False
Discomfort,456,0.626,0.626,0.57,0.688,90.0,False
Electrolyte imbalance,64,0.623,0.623,0.485,0.801,12.93,False
Feeling abnormal,897,0.622,0.621,0.581,0.664,183.26,False
Spondylitis,31,0.622,0.622,0.434,0.892,6.3,False
Squamous cell carcinoma of skin,44,0.621,0.621,0.459,0.84,9.05,False
Stoma prolapse,13,0.621,0.621,0.356,1.084,2.66,False
Ascites,118,0.617,0.617,0.513,0.742,24.88,False
Balance disorder,354,0.617,0.616,0.554,0.686,74.89,False
Dyspnoea exertional,284,0.616,0.616,0.547,0.694,60.13,False
Thrombosis,337,0.615,0.615,0.551,0.686,71.84,False
Ulna fracture,4,0.614,0.614,0.225,1.674,0.86,False
Catheter site haemorrhage,20,0.614,0.614,0.392,0.961,4.31,False
Seronegative arthritis,18,0.612,0.612,0.381,0.981,3.94,False
Gingival pain,41,0.612,0.612,0.447,0.837,8.95,False
QRS axis abnormal,3,0.612,0.612,0.192,1.947,0.66,False
Tooth disorder,106,0.612,0.612,0.504,0.744,23.11,False
Cervical vertebral fracture,19,0.611,0.611,0.385,0.967,4.19,False
Vulvovaginal pain,20,0.611,0.611,0.39,0.957,4.39,False
Bronchiectasis,70,0.61,0.61,0.48,0.775,15.53,False
International normalised ratio increased,31,0.609,0.609,0.425,0.873,6.9,False
Anger,88,0.609,0.609,0.492,0.754,19.64,False
Spinal osteoarthritis,38,0.608,0.608,0.439,0.842,8.51,False
Upper respiratory tract congestion,11,0.608,0.608,0.332,1.113,2.47,False
Skin papilloma,23,0.607,0.607,0.4,0.923,5.18,False
Colon neoplasm,4,0.607,0.607,0.223,1.654,0.9,False
Disability,82,0.604,0.604,0.484,0.754,18.85,False
Humerus fracture,29,0.603,0.603,0.416,0.876,6.71,False
Food craving,34,0.603,0.603,0.427,0.85,7.91,False
Hypoaesthesia,648,0.602,0.601,0.555,0.65,151.86,False
Wound cellulitis,3,0.602,0.602,0.189,1.916,0.7,False
Oral pain,83,0.602,0.602,0.483,0.75,19.36,False
Aortic aneurysm,26,0.601,0.601,0.406,0.891,6.1,False
Atelectasis,33,0.6,0.6,0.423,0.85,7.83,False
Varicella,11,0.6,0.6,0.328,1.099,2.6,False
Otitis media,22,0.6,0.6,0.392,0.921,5.19,False
Ventricular extrasystoles,32,0.599,0.599,0.42,0.854,7.63,False
Pain,2590,0.598,0.596,0.572,0.62,623.44,False
Cold sweat,72,0.598,0.598,0.472,0.757,17.29,False
Dermatomyositis,13,0.597,0.597,0.343,1.041,3.14,False
Hepatic cirrhosis,114,0.595,0.595,0.493,0.717,27.98,False
Amenorrhoea,44,0.595,0.595,0.44,0.805,10.74,False
Pancreatitis,193,0.594,0.594,0.514,0.686,47.63,False
Loss of personal independence in daily activities,387,0.594,0.593,0.536,0.657,95.64,False
Red blood cell sedimentation rate decreased,3,0.593,0.593,0.186,1.886,0.74,False
Arthrodesis,4,0.593,0.593,0.218,1.615,0.99,False
Night sweats,214,0.593,0.593,0.517,0.68,53.06,False
Fibula fracture,16,0.59,0.59,0.357,0.973,4.06,False
Thermal burn,31,0.59,0.59,0.412,0.846,7.83,False
Epididymitis,6,0.589,0.589,0.26,1.334,1.53,False
Gastrointestinal oedema,6,0.589,0.589,0.26,1.334,1.53,False
Pollakiuria,208,0.586,0.586,0.51,0.673,54.09,False
Skin atrophy,30,0.585,0.585,0.406,0.843,7.85,False
Sjogren's syndrome,33,0.583,0.583,0.412,0.827,8.73,False
Pulmonary pain,31,0.583,0.583,0.407,0.835,8.23,False
Haemorrhage,694,0.582,0.581,0.539,0.627,185.62,False
Splenic rupture,4,0.58,0.58,0.213,1.579,1.08,False
Tendon injury,12,0.58,0.58,0.325,1.034,3.25,False
Throat irritation,265,0.58,0.579,0.512,0.655,71.87,False
Soft tissue infection,8,0.58,0.58,0.286,1.177,2.17,False
Infusion site pain,275,0.576,0.576,0.51,0.65,76.27,False
Facial discomfort,10,0.575,0.575,0.305,1.083,2.8,False
Aphasia,98,0.574,0.574,0.469,0.702,27.59,False
Heavy menstrual bleeding,103,0.574,0.573,0.471,0.699,29.06,False
Raynaud's phenomenon,26,0.573,0.573,0.387,0.849,7.36,False
Oral disorder,33,0.573,0.573,0.405,0.812,9.33,False
Exfoliative rash,10,0.57,0.57,0.302,1.073,2.89,False
Insomnia,1029,0.57,0.569,0.535,0.606,297.25,False
Gallbladder disorder,62,0.568,0.568,0.441,0.733,18.08,False
Rosacea,23,0.568,0.568,0.374,0.863,6.71,False
Cardiac aneurysm,4,0.567,0.567,0.208,1.544,1.18,False
Pneumothorax,80,0.566,0.566,0.453,0.708,23.65,False
Tendonitis,49,0.566,0.566,0.425,0.754,14.5,False
Peptic ulcer,9,0.564,0.564,0.29,1.1,2.69,False
Deep vein thrombosis,146,0.563,0.563,0.477,0.665,43.99,False
Myocardial infarction,300,0.562,0.562,0.5,0.63,91.32,False
Spinal compression fracture,9,0.559,0.559,0.287,1.09,2.79,False
Renal cancer,23,0.559,0.559,0.368,0.848,7.14,False
Cardiac murmur,34,0.559,0.559,0.396,0.787,10.56,False
Dysgeusia,171,0.557,0.557,0.478,0.649,53.71,False
Respiratory tract infection viral,30,0.556,0.556,0.386,0.801,9.48,False
Ear discomfort,58,0.556,0.556,0.427,0.723,18.32,False
Pulse absent,11,0.556,0.556,0.304,1.017,3.47,False
Portal vein thrombosis,12,0.555,0.555,0.312,0.989,3.81,False
Carotid arteriosclerosis,4,0.555,0.555,0.204,1.51,1.27,False
Feeding intolerance,4,0.555,0.555,0.204,1.51,1.27,False
Axillary mass,4,0.555,0.555,0.204,1.51,1.27,False
Impaired driving ability,37,0.555,0.555,0.399,0.771,11.77,False
Skin infection,79,0.553,0.553,0.441,0.692,25.45,False
Magnesium deficiency,5,0.553,0.553,0.226,1.353,1.61,False
Ovarian hyperstimulation syndrome,7,0.55,0.55,0.258,1.172,2.29,False
Polycythaemia vera,5,0.548,0.548,0.224,1.341,1.66,False
Norovirus infection,38,0.547,0.547,0.396,0.757,12.69,False
Urinary retention,135,0.545,0.545,0.458,0.647,45.79,False
Haematuria,100,0.545,0.545,0.446,0.665,33.93,False
Helicobacter infection,135,0.545,0.544,0.458,0.647,45.84,False
Eczema asteatotic,3,0.544,0.544,0.171,1.725,1.03,False
Accident at home,4,0.544,0.544,0.2,1.478,1.37,False
Nasal oedema,12,0.542,0.542,0.304,0.965,4.15,False
Gamma-glutamyltransferase increased,59,0.542,0.542,0.417,0.703,20.4,False
Conduction disorder,10,0.541,0.541,0.288,1.019,3.47,False
Acute sinusitis,8,0.541,0.541,0.267,1.097,2.78,False
Weight increased,1344,0.54,0.539,0.511,0.57,468.41,False
Sneezing,123,0.54,0.539,0.45,0.646,43.1,False
Prostatitis,9,0.539,0.539,0.277,1.049,3.17,False
Renal impairment,360,0.539,0.539,0.485,0.598,126.68,False
Haematocrit decreased,65,0.538,0.538,0.42,0.69,22.99,False
Guillain-Barre syndrome,21,0.536,0.536,0.347,0.829,7.52,False
Paranasal sinus discomfort,33,0.536,0.536,0.378,0.759,11.81,False
Duodenitis,12,0.534,0.534,0.3,0.952,4.35,False
Yellow skin,16,0.534,0.534,0.324,0.88,5.81,False
Tension headache,26,0.533,0.533,0.36,0.789,9.47,False
Scar,81,0.532,0.531,0.426,0.664,29.84,False
Vascular occlusion,6,0.532,0.532,0.235,1.205,2.2,False
Alcoholism,7,0.531,0.531,0.249,1.13,2.59,False
Vulvovaginal discomfort,13,0.53,0.53,0.304,0.923,4.84,False
Pulmonary sarcoidosis,5,0.53,0.53,0.217,1.297,1.86,False
Perinatal depression,3,0.529,0.529,0.167,1.678,1.12,False
Acne pustular,3,0.529,0.529,0.167,1.678,1.12,False
Breast tenderness,10,0.528,0.528,0.281,0.994,3.76,False
Intraocular pressure increased,32,0.528,0.528,0.371,0.752,12.02,False
Injection site hypersensitivity,22,0.527,0.527,0.344,0.806,8.36,False
Papilloma viral infection,8,0.527,0.527,0.26,1.069,3.03,False
Candida infection,117,0.527,0.527,0.438,0.634,44.42,False
Cheilitis,17,0.526,0.526,0.324,0.853,6.5,False
Foot fracture,91,0.526,0.526,0.427,0.649,34.6,False
Pneumonia bacterial,70,0.526,0.526,0.414,0.668,26.69,False
Pancreatic carcinoma metastatic,5,0.526,0.526,0.215,1.286,1.91,False
Memory impairment,546,0.525,0.525,0.482,0.571,209.46,False
Swelling of eyelid,50,0.524,0.524,0.395,0.696,19.26,False
Cartilage injury,10,0.524,0.524,0.278,0.986,3.86,False
Cardiac tamponade,13,0.523,0.523,0.301,0.911,5.04,False
Bronchopulmonary dysplasia,3,0.522,0.522,0.165,1.655,1.17,False
Muscle mass,4,0.522,0.522,0.192,1.418,1.57,False
Fibromyalgia,158,0.521,0.521,0.445,0.611,62.02,False
Contusion,526,0.52,0.519,0.476,0.567,208.49,False
Retching,92,0.52,0.52,0.422,0.641,36.35,False
Benign prostatic hyperplasia,19,0.52,0.52,0.329,0.822,7.54,False
Tenderness,46,0.519,0.519,0.387,0.697,18.3,False
Bronchospasm,52,0.519,0.519,0.394,0.685,20.65,False
Molluscum contagiosum,5,0.518,0.518,0.212,1.265,2.01,False
Gastric mucosal lesion,4,0.517,0.517,0.19,1.403,1.62,False
Deafness,110,0.517,0.517,0.427,0.625,44.41,False
Eye swelling,138,0.514,0.514,0.433,0.609,56.68,False
Paraesthesia,474,0.512,0.511,0.466,0.56,197.35,False
Brain fog,281,0.511,0.51,0.453,0.575,117.78,False
Lower limb fracture,122,0.511,0.511,0.426,0.612,50.99,False
Hypoacusis,187,0.511,0.511,0.441,0.591,78.25,False
Thinking abnormal,45,0.51,0.51,0.378,0.686,18.98,False
Joint effusion,23,0.509,0.509,0.335,0.771,9.76,False
Upper limb fracture,73,0.507,0.507,0.402,0.641,31.21,False
Blood potassium increased,61,0.507,0.507,0.392,0.654,26.21,False
Hepatic fibrosis,16,0.505,0.505,0.307,0.833,6.92,False
Impaired healing,175,0.505,0.505,0.434,0.587,75.93,False
Hypersomnia,131,0.504,0.504,0.423,0.6,57.29,False
Sluggishness,37,0.504,0.504,0.363,0.7,16.11,False
Klebsiella urinary tract infection,4,0.502,0.502,0.185,1.362,1.77,False
Sarcoma,3,0.502,0.502,0.158,1.59,1.33,False
Fungal infection,151,0.501,0.501,0.426,0.589,67.12,False
Sinus disorder,128,0.501,0.501,0.42,0.598,56.89,False
Dental caries,47,0.501,0.501,0.374,0.67,20.9,False
Cardiac disorder,273,0.501,0.501,0.444,0.566,121.05,False
Emotional distress,168,0.5,0.499,0.428,0.583,75.32,False
Blood cholesterol abnormal,20,0.5,0.5,0.32,0.781,8.95,False
Hepatic enzyme increased,343,0.497,0.497,0.446,0.554,155.77,False
Angular cheilitis,4,0.497,0.497,0.183,1.349,1.82,False
Uterine enlargement,3,0.495,0.495,0.156,1.569,1.38,False
Abdominal sepsis,3,0.495,0.495,0.156,1.569,1.38,False
Drug withdrawal syndrome,59,0.494,0.494,0.381,0.64,27.41,False
Leukaemia,35,0.493,0.493,0.351,0.69,16.37,False
Fungal skin infection,17,0.493,0.493,0.304,0.8,7.94,False
Cerebrovascular disorder,4,0.492,0.492,0.181,1.336,1.87,False
Periarthritis,10,0.492,0.492,0.262,0.926,4.69,False
Supraventricular tachycardia,29,0.491,0.491,0.339,0.712,13.67,False
Cervical spinal stenosis,6,0.489,0.489,0.217,1.105,2.86,False
Chronic sinusitis,34,0.489,0.489,0.347,0.689,16.25,False
Blood ketone body increased,3,0.489,0.489,0.155,1.549,1.43,False
Bone lesion,12,0.488,0.488,0.274,0.868,5.78,False
Jaundice neonatal,4,0.488,0.488,0.18,1.323,1.93,False
Dermal cyst,9,0.487,0.487,0.25,0.948,4.35,False
Colitis ischaemic,22,0.486,0.486,0.317,0.743,10.73,False
Muscle spasms,660,0.485,0.484,0.448,0.523,323.5,False
Allergy to arthropod bite,6,0.483,0.483,0.214,1.091,2.97,False
Pulmonary oedema,140,0.483,0.482,0.408,0.571,69.58,False
Joint noise,12,0.482,0.482,0.271,0.857,5.99,False
Joint dislocation,69,0.482,0.482,0.379,0.612,34.48,False
